age,monthly_income,loan_amount,employment_years,monthly_expenses,existing_loans,debt_to_income,loan_to_income,employment_stability,approved
60,173059,189784,12.0,23335,1,13.483840771066516,9.13869451073526,0.2,1
50,93714,255776,3.7,54140,3,57.77151759609023,22.744378285706155,0.07400000000000001,1
36,39596,365018,1.0,114126,0,288.226083442772,76.82131191702865,0.027777777777777776,0
64,179246,119087,7.6,90373,1,50.41841937895406,5.5364787312780575,0.11875,1
29,79106,324441,11.2,87658,0,110.8108108108108,34.17787525598564,0.38620689655172413,1
42,74182,290341,16.9,44840,1,60.44593027958265,32.615841219343416,0.40238095238095234,1
60,102163,339272,3.0,41007,1,40.13879780351008,27.674076394258844,0.05,1
40,54310,118368,16.1,66947,2,123.26827471920456,18.16240103111766,0.4025,1
44,71088,269571,17.3,116833,0,164.349819941481,31.60062176457349,0.3931818181818182,1
32,143803,391102,3.4,103220,3,71.77875287720006,22.664223509477086,0.10625,1
32,154978,345064,17.1,36393,2,23.48268786537444,18.554461493459286,0.534375,1
45,51914,301514,19.8,67480,2,129.98420464614554,48.399596769015425,0.44,1
57,125350,454372,14.7,98290,3,78.41244515357,30.206887381997078,0.25789473684210523,1
61,60379,192180,15.8,96335,1,159.55050597061893,26.52412262541612,0.25901639344262295,0
45,183722,475061,19.9,114263,3,62.19342267120977,21.548000058058733,0.4422222222222222,1
24,192953,446016,12.3,19107,0,9.902411468077718,19.262722010023168,0.5125000000000001,1
43,61413,309904,6.5,15993,3,26.041717551658444,42.0518999777463,0.1511627906976744,1
23,152084,485928,16.8,106341,1,69.92254280529181,26.62607506378054,0.7304347826086957,0
45,196187,445826,12.5,103650,3,52.832246784955174,18.937119516923477,0.2777777777777778,1
51,22151,127603,11.8,113325,1,300.0,48.00498096398959,0.23137254901960785,0
59,72716,83872,5.4,62066,1,85.35397986687937,9.611823165924053,0.09152542372881356,1
23,108747,322872,15.2,52942,0,48.6836418475912,24.741831958582765,0.6608695652173913,1
42,182450,407246,2.1,26138,3,14.326116744313511,18.600803873207273,0.05,1
54,188724,434193,18.5,54527,3,28.89245670926856,19.172309828108773,0.3425925925925926,1
33,159539,332727,6.9,19190,0,12.028406847228577,17.379606240480385,0.2090909090909091,1
43,177082,135774,3.0,102259,1,57.74669362216375,6.389412814402368,0.06976744186046512,1
46,136999,450479,9.1,88422,3,64.54207694946679,27.401599038435805,0.19782608695652174,1
48,129793,438518,1.3,65698,0,50.61752174616505,28.15495956381828,0.027083333333333334,1
63,123177,248522,13.9,92315,1,74.94499784862434,16.8133390703351,0.22063492063492063,0
49,27289,270357,18.1,103710,0,300.0,82.55982263915863,0.36938775510204086,0
37,191048,462672,16.8,39086,3,20.458732883882586,20.181315690297726,0.4540540540540541,1
36,189668,403262,3.0,27322,0,14.405171141151907,17.71788950517044,0.08333333333333333,1
24,169243,115942,3.0,118132,2,69.80022807442553,5.708852557171247,0.125,0
58,101365,63689,16.4,110814,1,109.32175800325557,5.235946003715944,0.2827586206896551,1
28,129014,476150,18.5,93569,2,72.52623746260096,30.75570609907969,0.6607142857142857,1
42,190211,83276,9.5,95610,2,50.2652317689303,3.6484044911528075,0.2261904761904762,1
30,194785,151968,10.2,13435,1,6.897348358446492,6.501527324999358,0.33999999999999997,1
60,175806,463089,6.7,111505,1,63.425025311991625,21.950758222131213,0.11166666666666666,1
39,87588,325194,17.9,63331,0,72.30556697264466,30.93974060373567,0.45897435897435895,1
25,78646,116216,13.1,38942,1,49.5155506955217,12.31425204926718,0.524,1
46,18654,265516,6.1,69635,2,300.0,118.61441692577105,0.1326086956521739,0
35,33743,396184,6.3,39059,2,115.75437868594969,97.84350334390342,0.18,1
30,63368,71644,17.9,67557,3,106.61059209695745,9.42168497243614,0.5966666666666666,1
47,152513,112021,0.8,62389,1,40.9073324896894,6.120844343323738,0.01702127659574468,1
23,134735,218197,6.8,63014,2,46.76884254276914,13.495441669449908,0.2956521739130435,1
41,170683,92291,11.3,42826,3,25.09095809190136,4.505965249419489,0.275609756097561,1
49,134891,478276,3.4,40297,3,29.87374991659933,29.54706639681916,0.06938775510204082,1
28,122971,444754,2.3,53890,0,43.82334046238544,30.139490882674234,0.08214285714285714,1
29,27149,479392,16.4,31322,2,115.37073188699401,147.14845236779746,0.5655172413793103,0
56,115102,353664,17.9,45739,0,39.73779777936092,25.605115462806904,0.3196428571428571,1
35,74189,75675,16.6,19719,2,26.5794120422165,8.500249363113129,0.4742857142857143,1
38,167747,199359,18.0,89553,0,53.38575354551796,9.90375386743131,0.47368421052631576,1
57,86031,312318,11.3,18314,0,21.287675372830726,30.25246713394009,0.19824561403508772,1
61,57668,142268,16.3,103831,1,180.04959422903516,20.55848419689718,0.26721311475409837,0
25,159745,347142,8.0,85164,0,53.312466743873046,18.109173996056217,0.32,1
23,103204,234384,13.5,117658,1,114.00527111352272,18.92562303786675,0.5869565217391305,0
27,169741,455328,19.8,87028,3,51.27105413541808,22.35405706340837,0.7333333333333334,1
63,180140,155410,4.9,46113,2,25.598423448428996,7.189315717404981,0.07777777777777778,1
25,155507,387369,8.1,25357,3,16.30601837859389,20.758390297542874,0.324,1
50,198321,356958,9.9,108865,2,54.893329501162256,14.999168015490039,0.198,1
39,52384,397235,3.2,30365,3,57.96617287721442,63.19280060069232,0.08205128205128205,1
47,96929,362863,2.1,49029,2,50.58238504472345,31.196631898950088,0.04468085106382979,1
55,142959,179887,16.7,11737,0,8.210046237032996,10.485931863914361,0.30363636363636365,1
31,91153,346063,19.5,84632,2,92.84609392998586,31.63755809828896,0.6290322580645161,1
57,90388,385299,8.4,95474,2,105.62685312209585,35.52269106518565,0.1473684210526316,1
35,46401,383713,2.2,88218,3,190.12090256675503,68.91248751822877,0.06285714285714286,1
52,134503,353472,1.8,37499,3,27.879675546270345,21.899883273979018,0.03461538461538462,1
36,142834,251554,17.9,117430,3,82.21431871963259,14.676360903799749,0.4972222222222222,1
29,49084,336762,9.5,56157,1,114.4099910357754,57.17443566131529,0.3275862068965517,1
35,125641,84675,6.7,66247,1,52.72721484228874,5.616200125755127,0.19142857142857142,1
44,120111,331063,9.8,51034,2,42.48903097967713,22.969239564513934,0.22272727272727275,1
61,182523,316317,6.7,10294,2,5.639837171205821,14.441878557770801,0.1098360655737705,1
42,153299,421513,10.0,108072,0,70.4975244456911,22.913445836785193,0.23809523809523808,1
37,177982,338544,17.3,34596,0,19.437920688608962,15.8510411165174,0.46756756756756757,1
39,51041,231517,12.0,108185,2,211.95705413295195,37.79918758122555,0.3076923076923077,1
45,103920,120305,14.0,21434,1,20.625481139337953,9.647244675391327,0.3111111111111111,1
47,80681,218636,7.6,68382,2,84.75601442718855,22.582351069851224,0.16170212765957445,1
46,96571,489030,14.9,48098,0,49.80584233361983,42.199521595510035,0.3239130434782609,1
62,142556,138791,13.5,14655,1,10.280170599624007,8.113244385832001,0.21774193548387097,1
50,41160,209034,2.8,93029,1,226.01797862001942,42.32142857142857,0.055999999999999994,1
36,32633,120533,11.7,56228,0,172.30410933717403,30.779936465132433,0.32499999999999996,1
22,32014,237256,5.5,13771,2,43.01555569438371,61.75839736781824,0.25,1
46,95532,415735,16.2,84099,3,88.03228237658585,36.264899021619286,0.3521739130434782,1
28,64104,191650,8.8,66799,2,104.20410582802945,24.91394192770082,0.31428571428571433,1
30,187693,181060,19.9,72257,2,38.49743996845913,8.038836468772589,0.6633333333333333,1
45,92231,199696,2.3,27558,0,29.87932473897063,18.043101921624327,0.05111111111111111,1
22,83388,351338,15.7,109468,1,131.27548328296638,35.11076733662718,0.7136363636363636,0
29,31014,422047,13.6,68436,0,220.66163668020894,113.40228069044088,0.4689655172413793,1
45,107578,443605,15.5,117779,2,109.48242205655431,34.36305130540941,0.34444444444444444,1
32,179827,411447,6.5,102103,3,56.778459296991,19.06679753318467,0.203125,1
38,55390,292188,10.1,42376,3,76.50478425708611,43.95919841126557,0.2657894736842105,1
29,38711,426047,16.0,97458,3,251.75789827180904,91.715317782198,0.5517241379310345,1
56,106658,379535,5.0,87924,0,82.43544788014027,29.653581228474813,0.08928571428571429,1
56,72993,287501,4.9,39332,1,53.8846190730618,32.822896259458666,0.08750000000000001,1
54,173285,457010,11.2,56737,0,32.74201460022506,21.977763030075696,0.2074074074074074,1
26,22421,370146,10.7,99031,3,300.0,137.5741492350921,0.4115384615384615,0
63,32727,347675,6.0,83970,2,256.5771381428179,88.52909422393334,0.09523809523809523,0
60,127418,233887,6.3,61952,1,48.62107394559638,15.296569820067285,0.105,1
62,19358,54986,5.9,30991,0,160.09401797706374,23.67066156972139,0.09516129032258065,0
49,80108,344442,15.5,37472,0,46.776851250811404,35.83100314575323,0.3163265306122449,1
28,109018,313625,13.2,69946,1,64.16004696472142,23.97348755862946,0.4714285714285714,1
30,139457,368552,16.7,115566,1,82.86855446481711,22.023036969579632,0.5566666666666666,1
29,178189,250339,19.5,36849,2,20.679727704852713,11.707559576255175,0.6724137931034483,1
33,46910,171950,9.7,11541,1,24.60243018546152,30.54608114829816,0.29393939393939394,1
55,141888,460051,1.8,12765,2,8.99653247631935,27.019609363253643,0.03272727272727273,1
54,70754,175355,1.4,53074,3,75.01201345506968,20.653131507288165,0.025925925925925925,0
44,124847,77798,6.3,112795,3,90.34658421908416,5.192889429995648,0.1431818181818182,1
45,175443,141649,18.7,39283,0,22.390747992225396,6.728158623218556,0.41555555555555557,1
58,197573,377031,10.7,111387,3,56.37764269409281,15.90260308847869,0.18448275862068964,1
56,53467,69477,5.8,110161,3,206.03549853180465,10.82864196607253,0.10357142857142856,1
61,163697,460482,8.3,10769,2,6.5786178121773755,23.441785738284757,0.1360655737704918,1
43,48893,267400,12.2,27806,0,56.87112674615998,45.5757129514109,0.2837209302325581,1
48,91329,267060,13.2,100518,1,110.0614262720494,24.36794446451839,0.27499999999999997,1
56,46007,439959,3.5,12972,0,28.19570934857739,79.69059056230574,0.0625,1
22,185604,486742,19.6,28256,3,15.223809831684662,21.853965072591826,0.890909090909091,1
56,69253,439570,11.1,113903,1,164.47374120976707,52.89421878233915,0.1982142857142857,1
58,27323,455105,3.1,28653,0,104.86769388427332,138.8039990728202,0.05344827586206897,0
35,126335,336479,17.9,113579,0,89.90303558000554,22.194891887969817,0.5114285714285713,1
24,127356,454470,2.0,96669,0,75.9045510223311,29.737507459405133,0.08333333333333333,0
22,125944,398754,18.2,49339,0,39.175347773613666,26.384345423362767,0.8272727272727273,1
26,160282,323586,19.9,35757,2,22.30880572990105,16.82378557791892,0.7653846153846153,1
47,31456,358433,14.2,113376,0,300.0,94.95618218040013,0.3021276595744681,1
35,46367,365891,15.5,52399,3,113.00925226993334,65.75995140221853,0.44285714285714284,1
60,69624,349471,7.1,54013,3,77.57813397678962,41.828368570224825,0.11833333333333333,1
48,156178,459415,18.9,107605,2,68.89894863553126,24.51342912147251,0.39375,1
30,83008,384971,10.8,24706,1,29.76339629915189,38.64798172063737,0.36000000000000004,1
36,140926,156464,14.8,48231,1,34.224344691540246,9.252137055381311,0.41111111111111115,1
36,130395,181184,18.5,37909,3,29.07243375896315,11.579176093152856,0.5138888888888888,1
47,131492,137051,19.5,115754,3,88.03121102424483,8.68563613502469,0.4148936170212766,1
63,87240,200653,16.7,86631,2,99.3019257221458,19.1667621885985,0.2650793650793651,0
34,79315,295300,6.4,67572,1,85.19447771543844,31.026077454874024,0.18823529411764706,1
53,25756,109722,19.3,95879,1,300.0,35.50046591085572,0.36415094339622645,0
60,51378,142036,12.7,73767,0,143.57701740044376,23.037746376529515,0.21166666666666664,1
53,150327,278634,18.6,36469,0,24.259780345513448,15.445994398877113,0.3509433962264151,1
25,160556,197595,13.7,11313,0,7.046139664665288,10.255767458083161,0.5479999999999999,1
51,140703,379104,6.5,17847,2,12.684164516748044,22.45296830913342,0.12745098039215685,1
58,71549,298709,7.7,60222,3,84.16889124935359,34.79072616901237,0.1327586206896552,1
44,180575,331696,11.2,84702,2,46.90682541880105,15.307397664866858,0.2545454545454545,1
60,88794,191880,15.9,19930,1,22.44521026195464,18.007973511723765,0.265,1
36,60113,285419,6.7,13285,3,22.100044915409313,39.567009909115605,0.18611111111111112,1
64,89069,204692,11.8,45863,0,51.491540266534926,19.151070144120478,0.184375,1
50,151321,313031,7.2,26704,2,17.647253190237972,17.238794791646015,0.14400000000000002,1
57,165273,343946,16.4,28705,2,17.36823316573185,17.342316450156208,0.287719298245614,1
34,140541,135024,9.6,10555,0,7.510263908752606,8.006204595100362,0.2823529411764706,1
53,24686,295809,2.0,31323,2,126.88568419346997,99.8572065138135,0.03773584905660377,0
28,68363,168639,3.7,80968,0,118.43833652706874,20.556807044746428,0.13214285714285715,1
43,112543,430392,1.7,76922,1,68.34898660956257,31.86870796051287,0.03953488372093023,0
49,146733,131938,10.2,63915,3,43.5587086749402,7.493088353222066,0.20816326530612245,1
23,190915,267813,2.6,119543,1,62.615823795930126,11.689888170128066,0.11304347826086956,0
63,110673,302100,2.7,20619,1,18.630560299259983,22.74719217876085,0.04285714285714286,1
27,57828,434890,18.9,82390,0,142.47423393511792,62.670044499780964,0.7,1
49,63604,338193,17.5,118500,2,186.30903716747375,44.309713225583295,0.35714285714285715,1
49,25526,389933,9.3,69274,1,271.3860377654156,127.29928961320485,0.18979591836734697,0
41,83910,134526,19.7,83173,1,99.12167798832083,13.360147777380526,0.48048780487804876,1
51,40592,451062,0.5,31225,1,76.92402443831297,92.60075877020103,0.00980392156862745,0
32,43982,96220,12.5,36739,2,83.53189941339639,18.23094296151456,0.390625,1
49,15207,358307,12.5,57708,2,300.0,196.34981697025492,0.25510204081632654,0
46,103733,446981,9.4,63019,0,60.75115922609006,35.90797206931899,0.20434782608695654,1
60,139982,429270,8.2,86154,1,61.54648454801331,25.555071366318526,0.13666666666666666,1
54,83619,393630,9.4,112097,3,134.05685310754734,39.22852461761083,0.17407407407407408,1
